,game_id,name,release_date,type_product,description,genres,header_image,capsule_image,capsule_imagev5,price,on_sale,discount_percent,discount_price
16,594570,Total War: WARHAMMER II,Coming Soon,game,"Strategy gaming perfected. A breath-taking campaign of exploration, expansion and conquest across a fantasy world. Turn-based civilisation management and real-time epic strategy battles with thousands of troops and monsters at your command.","['Action', 'Strategy']",https://cdn.akamai.steamstatic.com/steam/apps/594570/header.jpg?t=1668768624,https://cdn.akamai.steamstatic.com/steam/apps/594570/capsule_231x87.jpg?t=1668768624,https://cdn.akamai.steamstatic.com/steam/apps/594570/capsule_184x69.jpg?t=1668768624,59.99€,True,0%,59.99€
17,588650,Dead Cells,Coming Soon,game,"Dead Cells is a rogue-lite, metroidvania inspired, action-platformer. You'll explore a sprawling, ever-changing castle... assuming you’re able to fight your way past its keepers in 2D souls-lite combat. No checkpoints. Kill, die, learn, repeat. Regular free content updates!","['Action', 'Adventure', 'Indie']",https://cdn.akamai.steamstatic.com/steam/apps/588650/header.jpg?t=1678188017,https://cdn.akamai.steamstatic.com/steam/apps/588650/capsule_231x87.jpg?t=1678188017,https://cdn.akamai.steamstatic.com/steam/apps/588650/capsule_184x69.jpg?t=1678188017,24.99€,True,0%,24.99€
18,739630,Phasmophobia,Coming Soon,game,Phasmophobia is a 4 player online co-op psychological horror. Paranormal activity is on the rise and it’s up to you and your team to use all the ghost-hunting equipment at your disposal in order to gather as much evidence as you can.,"['Action', 'Indie', 'Early Access']",https://cdn.akamai.steamstatic.com/steam/apps/739630/header.jpg?t=1683281716,https://cdn.akamai.steamstatic.com/steam/apps/739630/capsule_231x87.jpg?t=1683281716,https://cdn.akamai.steamstatic.com/steam/apps/739630/capsule_184x69.jpg?t=1683281716,11.59€,True,0%,11.59€
19,703080,Planet Zoo,Coming Soon,game,"Build a world for wildlife in Planet Zoo. From the developers of Planet Coaster and Zoo Tycoon comes the ultimate zoo sim. Construct detailed habitats, manage your zoo, and meet authentic living animals who think, feel and explore the world you create around them.","['Casual', 'Simulation', 'Strategy']",https://cdn.akamai.steamstatic.com/steam/apps/703080/header_alt_assets_1.jpg?t=1687255697,https://cdn.akamai.steamstatic.com/steam/apps/703080/capsule_231x87_alt_assets_1.jpg?t=1687255697,https://cdn.akamai.steamstatic.com/steam/apps/703080/capsule_184x69_alt_assets_1.jpg?t=1687255697,44.99€,True,0%,44.99€
20,1016120,PGA TOUR 2K21,Coming Soon,game,"Play against the pros. Play with your crew. In PGA TOUR 2K21, you can play by the rules or create your own featuring a new PGA TOUR Career Mode, licensed courses and more! Powered by The Golf Club.","['Simulation', 'Sports']",https://cdn.akamai.steamstatic.com/steam/apps/1016120/header.jpg?t=1644357004,https://cdn.akamai.steamstatic.com/steam/apps/1016120/capsule_231x87.jpg?t=1644357004,https://cdn.akamai.steamstatic.com/steam/apps/1016120/capsule_184x69.jpg?t=1644357004,59.99€,True,0%,59.99€
21,999220,Amnesia: Rebirth,Coming Soon,game,"A first-person horror adventure. Uncover your past and survive the Algerian desert. Fear is your enemy; stay calm to not succumb to an illness threatening you and your loved one. Avoid darkness, hide from monsters and solve puzzles. Adventure Mode available for a less scary experience.","['Adventure', 'Indie']",https://cdn.akamai.steamstatic.com/steam/apps/999220/header.jpg?t=1685698954,https://cdn.akamai.steamstatic.com/steam/apps/999220/capsule_231x87.jpg?t=1685698954,https://cdn.akamai.steamstatic.com/steam/apps/999220/capsule_184x69.jpg?t=1685698954,28.99€,True,0%,28.99€
22,381210,Dead by Daylight,Coming Soon,game,"Dead by Daylight is a multiplayer (4vs1) horror game where one player takes on the role of the savage Killer, and the other four players play as Survivors, trying to escape the Killer and avoid being caught and killed.",['Action'],https://cdn.akamai.steamstatic.com/steam/apps/381210/header.jpg?t=1687878531,https://cdn.akamai.steamstatic.com/steam/apps/381210/capsule_231x87.jpg?t=1687878531,https://cdn.akamai.steamstatic.com/steam/apps/381210/capsule_184x69.jpg?t=1687878531,19.99€,True,0%,19.99€
23,379430,Kingdom Come: Deliverance,Coming Soon,game,"Story-driven open-world RPG that immerses you in an epic adventure in the Holy Roman Empire. Avenge your parents' death as you battle invading forces, go on game-changing quests, and make influential choices. Explore castles, forests, villages and other realistic settings in medieval Bohemia!","['Action', 'Adventure', 'RPG']",https://cdn.akamai.steamstatic.com/steam/apps/379430/header.jpg?t=1676294999,https://cdn.akamai.steamstatic.com/steam/apps/379430/capsule_231x87.jpg?t=1676294999,https://cdn.akamai.steamstatic.com/steam/apps/379430/capsule_184x69.jpg?t=1676294999,29.99€,True,0%,29.99€
24,377160,Fallout 4,Coming Soon,game,"Bethesda Game Studios, the award-winning creators of Fallout 3 and The Elder Scrolls V: Skyrim, welcome you to the world of Fallout 4 – their most ambitious game ever, and the next generation of open-world gaming.",['RPG'],https://cdn.akamai.steamstatic.com/steam/apps/377160/header.jpg?t=1650909928,https://cdn.akamai.steamstatic.com/steam/apps/377160/capsule_231x87.jpg?t=1650909928,https://cdn.akamai.steamstatic.com/steam/apps/377160/capsule_184x69.jpg?t=1650909928,19.99€,True,0%,19.99€
25,359550,Tom Clancy's Rainbow Six® Siege,Coming Soon,game,"Tom Clancy's Rainbow Six® Siege is an elite, tactical team-based shooter where superior planning and execution triumph.",['Action'],https://cdn.akamai.steamstatic.com/steam/apps/359550/header.jpg?t=1685724234,https://cdn.akamai.steamstatic.com/steam/apps/359550/capsule_231x87.jpg?t=1685724234,https://cdn.akamai.steamstatic.com/steam/apps/359550/capsule_184x69.jpg?t=1685724234,19.99€,True,0%,19.99€
26,330020,Children of Morta,Coming Soon,game,"Children of Morta is a story-driven action RPG game about an extraordinary family of heroes. Lead the Bergsons, with all their flaws and virtues, against the forthcoming Corruption. Will you be able to sacrifice everything to save the ones you care for?","['Action', 'Adventure', 'Indie', 'RPG']",https://cdn.akamai.steamstatic.com/steam/apps/330020/header_alt_assets_1.jpg?t=1685958364,https://cdn.akamai.steamstatic.com/steam/apps/330020/capsule_231x87.jpg?t=1685958364,https://cdn.akamai.steamstatic.com/steam/apps/330020/capsule_184x69.jpg?t=1685958364,21.99€,True,0%,21.99€
27,945360,Among Us,Coming Soon,game,An online and local party game of teamwork and betrayal for 4-15 players...in space!,['Casual'],https://cdn.akamai.steamstatic.com/steam/apps/945360/header.jpg?t=1684189647,https://cdn.akamai.steamstatic.com/steam/apps/945360/capsule_231x87.jpg?t=1684189647,https://cdn.akamai.steamstatic.com/steam/apps/945360/capsule_184x69.jpg?t=1684189647,4.49€,True,0%,4.49€
28,311690,Enter the Gungeon,Coming Soon,game,"Enter the Gungeon is a bullet hell dungeon crawler following a band of misfits seeking to shoot, loot, dodge roll and table-flip their way to personal absolution by reaching the legendary Gungeon’s ultimate treasure: the gun that can kill the past.","['Action', 'Adventure', 'Indie']",https://cdn.akamai.steamstatic.com/steam/apps/311690/header.jpg?t=1686261946,https://cdn.akamai.steamstatic.com/steam/apps/311690/capsule_231x87.jpg?t=1686261946,https://cdn.akamai.steamstatic.com/steam/apps/311690/capsule_184x69.jpg?t=1686261946,14.79€,True,0%,14.79€
29,292030,The Witcher® 3: Wild Hunt,Coming Soon,game,"You are Geralt of Rivia, mercenary monster slayer. Before you stands a war-torn, monster-infested continent you can explore at will. Your current contract? Tracking down Ciri — the Child of Prophecy, a living weapon that can alter the shape of the world.",['RPG'],https://cdn.akamai.steamstatic.com/steam/apps/292030/header.jpg?t=1687959506,https://cdn.akamai.steamstatic.com/steam/apps/292030/capsule_231x87.jpg?t=1687959506,https://cdn.akamai.steamstatic.com/steam/apps/292030/capsule_184x69.jpg?t=1687959506,29.99€,True,0%,29.99€
30,289070,Sid Meier’s Civilization® VI,Coming Soon,game,"Civilization VI is the newest installment in the award winning Civilization Franchise. Expand your empire, advance your culture and go head-to-head against history’s greatest leaders. Will your civilization stand the test of time?",['Strategy'],https://cdn.akamai.steamstatic.com/steam/apps/289070/header.jpg?t=1680898825,https://cdn.akamai.steamstatic.com/steam/apps/289070/capsule_231x87.jpg?t=1680898825,https://cdn.akamai.steamstatic.com/steam/apps/289070/capsule_184x69.jpg?t=1680898825,59.99€,True,90%,5.99€
31,281990,Stellaris,Coming Soon,game,"Explore a galaxy full of wonders in this sci-fi grand strategy game from Paradox Development Studios. Interact with diverse alien races, discover strange new worlds with unexpected events and expand the reach of your empire. Each new adventure holds almost limitless possibilities.","['Simulation', 'Strategy']",https://cdn.akamai.steamstatic.com/steam/apps/281990/header.jpg?t=1687453160,https://cdn.akamai.steamstatic.com/steam/apps/281990/capsule_231x87.jpg?t=1687453160,https://cdn.akamai.steamstatic.com/steam/apps/281990/capsule_184x69.jpg?t=1687453160,39.99€,True,0%,39.99€
32,282140,SOMA,Coming Soon,game,"From the creators of Amnesia: The Dark Descent comes SOMA, a sci-fi horror game set below the waves of the Atlantic ocean. Struggle to survive a hostile world that will make you question your very existence.","['Action', 'Adventure', 'Indie']",https://cdn.akamai.steamstatic.com/steam/apps/282140/header.jpg?t=1685698900,https://cdn.akamai.steamstatic.com/steam/apps/282140/capsule_231x87.jpg?t=1685698900,https://cdn.akamai.steamstatic.com/steam/apps/282140/capsule_184x69.jpg?t=1685698900,28.99€,True,0%,28.99€
33,270880,American Truck Simulator,Coming Soon,game,"Experience legendary American trucks and deliver various cargoes across sunny California, sandy Nevada, and the Grand Canyon State of Arizona. American Truck Simulator takes you on a journey through the breathtaking landscapes and widely recognized landmarks around the States.","['Indie', 'Simulation']",https://cdn.akamai.steamstatic.com/steam/apps/270880/header.jpg?t=1687514005,https://cdn.akamai.steamstatic.com/steam/apps/270880/capsule_231x87.jpg?t=1687514005,https://cdn.akamai.steamstatic.com/steam/apps/270880/capsule_184x69.jpg?t=1687514005,19.99€,True,0%,19.99€
